# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.30234E+03  0.41600E-01 -0.36503E-01  0.16789E+00  0.37376E-02
 0.30938E+03  0.40838E-01 -0.35720E-01  0.16430E+00  0.34787E-02
 0.31641E+03  0.40062E-01 -0.34932E-01  0.16086E+00  0.33977E-02
 0.32344E+03  0.39231E-01 -0.34087E-01  0.15755E+00  0.34748E-02
 0.33047E+03  0.38333E-01 -0.33163E-01  0.15437E+00  0.36341E-02
 0.33750E+03  0.37414E-01 -0.32162E-01  0.15133E+00  0.37919E-02
 0.34453E+03  0.36572E-01 -0.31090E-01  0.14843E+00  0.38952E-02
 0.35156E+03  0.35907E-01 -0.29928E-01  0.14568E+00  0.39257E-02
 0.35859E+03  0.35467E-01 -0.28631E-01  0.14309E+00  0.38819E-02
 0.36562E+03  0.35228E-01 -0.27163E-01  0.14064E+00  0.37714E-02
 0.37266E+03  0.35115E-01 -0.25523E-01  0.13834E+00  0.36178E-02
 0.37969E+03  0.35039E-01 -0.23753E-01  0.13617E+00  0.34516E-02
 0.38672E+03  0.34924E-01 -0.21920E-01  0.13411E+00  0.32802E-02
 0.39375E+03  0.34723E-01 -0.20102E-01  0.13214E+00  0.30702E-02
 0.40078E+03  0.34418E-01 -0.18384E-01  0.13024E+00  0.27699E-02
 0.40781E+03  0.34008E-01 -0.16850E-01  0.12839E+00  0.23439E-02
 0.41484E+03  0.33512E-01 -0.15574E-01  0.12656E+00  0.17816E-02
 0.42188E+03  0.32966E-01 -0.14601E-01  0.12472E+00  0.10833E-02
 0.42891E+03  0.32407E-01 -0.13934E-01  0.12287E+00  0.25490E-03
 0.43594E+03  0.31849E-01 -0.13543E-01  0.12100E+00 -0.68426E-03
 0.44297E+03  0.31274E-01 -0.13389E-01  0.11914E+00 -0.16916E-02
 0.45000E+03  0.30642E-01 -0.13438E-01  0.11727E+00 -0.27036E-02
 0.45703E+03  0.29919E-01 -0.13661E-01  0.11541E+00 -0.36540E-02
 0.46406E+03  0.29095E-01 -0.14008E-01  0.11355E+00 -0.45022E-02
 0.47109E+03  0.28188E-01 -0.14408E-01  0.11171E+00 -0.52602E-02
 0.47812E+03  0.27233E-01 -0.14772E-01  0.10989E+00 -0.59984E-02
 0.48516E+03  0.26271E-01 -0.15025E-01  0.10815E+00 -0.68243E-02
 0.49219E+03  0.25332E-01 -0.15125E-01  0.10649E+00 -0.78401E-02
 0.49922E+03  0.24438E-01 -0.15064E-01  0.10493E+00 -0.91083E-02
 0.50625E+03  0.23601E-01 -0.14859E-01  0.10347E+00 -0.10648E-01
 0.51328E+03  0.22845E-01 -0.14528E-01  0.10210E+00 -0.12453E-01
 0.52031E+03  0.22200E-01 -0.14083E-01  0.10081E+00 -0.14501E-01
 0.52734E+03  0.21686E-01 -0.13535E-01  0.99603E-01 -0.16751E-01
 0.53438E+03  0.21292E-01 -0.12878E-01  0.98455E-01 -0.19119E-01
 0.54141E+03  0.20973E-01 -0.12086E-01  0.97360E-01 -0.21492E-01
 0.54844E+03  0.20675E-01 -0.11122E-01  0.96317E-01 -0.23759E-01
 0.55547E+03  0.20374E-01 -0.99756E-02  0.95331E-01 -0.25837E-01
 0.56250E+03  0.20076E-01 -0.86951E-02  0.94404E-01 -0.27690E-01
 0.56953E+03  0.19805E-01 -0.73831E-02  0.93533E-01 -0.29322E-01
 0.57656E+03  0.19566E-01 -0.61566E-02  0.92716E-01 -0.30770E-01
 0.58359E+03  0.19341E-01 -0.51107E-02  0.91947E-01 -0.32098E-01
 0.59062E+03  0.19094E-01 -0.43022E-02  0.91217E-01 -0.33392E-01
 0.59766E+03  0.18789E-01 -0.37449E-02  0.90522E-01 -0.34729E-01
 0.60469E+03  0.18409E-01 -0.34081E-02  0.89853E-01 -0.36146E-01
 0.61172E+03  0.17954E-01 -0.32265E-02  0.89205E-01 -0.37636E-01
 0.61875E+03  0.17440E-01 -0.31246E-02  0.88576E-01 -0.39157E-01
 0.62578E+03  0.16885E-01 -0.30439E-02  0.87971E-01 -0.40645E-01
 0.63281E+03  0.16310E-01 -0.29548E-02  0.87389E-01 -0.42037E-01
 0.63984E+03  0.15725E-01 -0.28472E-02  0.86834E-01 -0.43279E-01
 0.64688E+03  0.15137E-01 -0.27146E-02  0.86303E-01 -0.44342E-01
 0.65391E+03  0.14557E-01 -0.25455E-02  0.85798E-01 -0.45228E-01
 0.66094E+03  0.14006E-01 -0.23259E-02  0.85324E-01 -0.45968E-01
 0.66797E+03  0.13523E-01 -0.20451E-02  0.84891E-01 -0.46601E-01
 0.67500E+03  0.13152E-01 -0.17087E-02  0.84509E-01 -0.47144E-01
 0.68203E+03  0.12932E-01 -0.13621E-02  0.84188E-01 -0.47567E-01
 0.68906E+03  0.12869E-01 -0.11053E-02  0.83931E-01 -0.47816E-01
 0.69609E+03  0.12939E-01 -0.10681E-02  0.83736E-01 -0.47870E-01
 0.70312E+03  0.13098E-01 -0.13520E-02  0.83600E-01 -0.47763E-01
 0.71016E+03  0.13303E-01 -0.19857E-02  0.83522E-01 -0.47592E-01
 0.71719E+03  0.13504E-01 -0.29252E-02  0.83501E-01 -0.47473E-01
 0.72422E+03  0.13642E-01 -0.40808E-02  0.83532E-01 -0.47510E-01
 0.73125E+03  0.13659E-01 -0.53408E-02  0.83599E-01 -0.47766E-01
 0.73828E+03  0.13533E-01 -0.65885E-02  0.83683E-01 -0.48251E-01
 0.74531E+03  0.13290E-01 -0.77199E-02  0.83758E-01 -0.48920E-01
 0.75234E+03  0.12990E-01 -0.86630E-02  0.83805E-01 -0.49677E-01
 0.75938E+03  0.12692E-01 -0.93853E-02  0.83809E-01 -0.50404E-01
 0.76641E+03  0.12431E-01 -0.98824E-02  0.83764E-01 -0.50991E-01
 0.77344E+03  0.12209E-01 -0.10166E-01  0.83671E-01 -0.51377E-01
 0.78047E+03  0.12007E-01 -0.10262E-01  0.83543E-01 -0.51572E-01
 0.78750E+03  0.11802E-01 -0.10218E-01  0.83398E-01 -0.51662E-01
 0.79453E+03  0.11574E-01 -0.10087E-01  0.83254E-01 -0.51773E-01
 0.80156E+03  0.11303E-01 -0.99136E-02  0.83124E-01 -0.52027E-01
 0.80859E+03  0.10984E-01 -0.97190E-02  0.83005E-01 -0.52496E-01
 0.81562E+03  0.10627E-01 -0.95159E-02  0.82888E-01 -0.53184E-01
 0.82266E+03  0.10255E-01 -0.93367E-02  0.82760E-01 -0.54035E-01
 0.82969E+03  0.98864E-02 -0.92487E-02  0.82613E-01 -0.54952E-01
 0.83672E+03  0.95237E-02 -0.93320E-02  0.82447E-01 -0.55829E-01
 0.84375E+03  0.91549E-02 -0.96305E-02  0.82279E-01 -0.56594E-01
 0.85078E+03  0.87756E-02 -0.10119E-01  0.82129E-01 -0.57233E-01
 0.85781E+03  0.84085E-02 -0.10714E-01  0.82011E-01 -0.57783E-01
 0.86484E+03  0.81044E-02 -0.11319E-01  0.81926E-01 -0.58287E-01
 0.87188E+03  0.79201E-02 -0.11864E-01  0.81866E-01 -0.58762E-01
 0.87891E+03  0.78838E-02 -0.12315E-01  0.81821E-01 -0.59189E-01
 0.88594E+03  0.79659E-02 -0.12657E-01  0.81786E-01 -0.59531E-01
 0.89297E+03  0.80813E-02 -0.12875E-01  0.81763E-01 -0.59751E-01
 0.90000E+03  0.81338E-02 -0.12950E-01  0.81755E-01 -0.59827E-01
 0.90703E+03  0.80813E-02 -0.12875E-01  0.81763E-01 -0.59751E-01
