# <u_r u_z> budget
#
# y+           P+           TD+          TCR+         PD+          PCR+         PS+          VD+          VCR+         D+           balance
 0.14904E+03  0.59018E-02  0.66568E-02 -0.58594E-02 -0.98768E-03 -0.19370E-02 -0.28232E-02  0.15787E-03 -0.16325E-03 -0.81218E-03  0.13377E-03
 0.14615E+03  0.65073E-02  0.63061E-02 -0.54999E-02 -0.16593E-02 -0.15109E-02 -0.30958E-02  0.14475E-03 -0.14938E-03 -0.90621E-03  0.13663E-03
 0.14327E+03  0.71221E-02  0.60082E-02 -0.52043E-02 -0.23007E-02 -0.11337E-02 -0.33491E-02  0.13683E-03 -0.13769E-03 -0.10075E-02  0.13410E-03
 0.14041E+03  0.77480E-02  0.57809E-02 -0.49678E-02 -0.29399E-02 -0.79234E-03 -0.35871E-02  0.12970E-03 -0.12774E-03 -0.11144E-02  0.12924E-03
 0.13756E+03  0.83966E-02  0.56259E-02 -0.47840E-02 -0.35817E-02 -0.47700E-03 -0.38328E-02  0.12124E-03 -0.11917E-03 -0.12235E-02  0.12562E-03
 0.13472E+03  0.90799E-02  0.55150E-02 -0.46397E-02 -0.42066E-02 -0.18157E-03 -0.41135E-02  0.11489E-03 -0.11171E-03 -0.13325E-02  0.12435E-03
 0.13189E+03  0.98018E-02  0.54060E-02 -0.45134E-02 -0.47807E-02  0.96800E-04 -0.44521E-02  0.11269E-03 -0.10518E-03 -0.14407E-02  0.12513E-03
 0.12908E+03  0.10557E-01  0.52614E-02 -0.43872E-02 -0.52515E-02  0.35788E-03 -0.48741E-02  0.11077E-03 -0.99416E-04 -0.15473E-02  0.12731E-03
 0.12629E+03  0.11333E-01  0.50597E-02 -0.42583E-02 -0.55656E-02  0.59830E-03 -0.53976E-02  0.10496E-03 -0.94304E-04 -0.16505E-02  0.12919E-03
 0.12351E+03  0.12117E-01  0.48055E-02 -0.41365E-02 -0.57193E-02  0.81372E-03 -0.60098E-02  0.97144E-04 -0.89740E-04 -0.17498E-02  0.12867E-03
 0.12074E+03  0.12903E-01  0.45347E-02 -0.40294E-02 -0.57745E-02  0.10025E-02 -0.66695E-02  0.90781E-04 -0.85632E-04 -0.18462E-02  0.12559E-03
 0.11799E+03  0.13681E-01  0.42954E-02 -0.39365E-02 -0.58148E-02  0.11671E-02 -0.73337E-02  0.87593E-04 -0.81911E-04 -0.19423E-02  0.12238E-03
 0.11526E+03  0.14440E-01  0.41237E-02 -0.38541E-02 -0.58959E-02  0.13125E-02 -0.79741E-02  0.86894E-04 -0.78528E-04 -0.20402E-02  0.12077E-03
 0.11255E+03  0.15157E-01  0.40347E-02 -0.37780E-02 -0.60282E-02  0.14441E-02 -0.85794E-02  0.87324E-04 -0.75443E-04 -0.21405E-02  0.12133E-03
 0.10985E+03  0.15805E-01  0.40352E-02 -0.37077E-02 -0.61905E-02  0.15657E-02 -0.91559E-02  0.86657E-04 -0.72624E-04 -0.22419E-02  0.12424E-03
 0.10718E+03  0.16377E-01  0.41341E-02 -0.36433E-02 -0.63575E-02  0.16795E-02 -0.97251E-02  0.80190E-04 -0.70042E-04 -0.23436E-02  0.13118E-03
 0.10452E+03  0.16894E-01  0.43064E-02 -0.35821E-02 -0.65209E-02  0.17864E-02 -0.10296E-01  0.69417E-04 -0.67663E-04 -0.24476E-02  0.14188E-03
 0.10188E+03  0.17407E-01  0.44885E-02 -0.35225E-02 -0.66930E-02  0.18874E-02 -0.10851E-01  0.60415E-04 -0.65457E-04 -0.25584E-02  0.15363E-03
 0.99266E+02  0.17961E-01  0.46174E-02 -0.34670E-02 -0.68780E-02  0.19837E-02 -0.11370E-01  0.57698E-04 -0.63397E-04 -0.26776E-02  0.16390E-03
 0.96672E+02  0.18574E-01  0.46682E-02 -0.34205E-02 -0.70528E-02  0.20762E-02 -0.11868E-01  0.58124E-04 -0.61472E-04 -0.28032E-02  0.17063E-03
 0.94100E+02  0.19249E-01  0.46515E-02 -0.33870E-02 -0.72060E-02  0.21645E-02 -0.12359E-01  0.53026E-04 -0.59670E-04 -0.29328E-02  0.17337E-03
 0.91550E+02  0.20003E-01  0.45795E-02 -0.33680E-02 -0.73740E-02  0.22488E-02 -0.12835E-01  0.45233E-04 -0.57980E-04 -0.30671E-02  0.17460E-03
 0.89025E+02  0.20855E-01  0.44637E-02 -0.33625E-02 -0.76053E-02  0.23309E-02 -0.13284E-01  0.41347E-04 -0.56386E-04 -0.32092E-02  0.17382E-03
 0.86523E+02  0.21802E-01  0.43275E-02 -0.33654E-02 -0.79186E-02  0.24129E-02 -0.13712E-01  0.41580E-04 -0.54881E-04 -0.33612E-02  0.17157E-03
