# <u_r u_r> budget
#
# y+          P+(NC)      TD+          TCR+         PD+          PCR+         PS+          VD+          VCR+         D+           balance
 0.12768E+03  0.00000E+00  0.24665E-02 -0.92471E-03 -0.92714E-03  0.62345E-03  0.44523E-02  0.89784E-04  0.43128E-04 -0.57773E-02  0.46018E-04
 0.12489E+03  0.00000E+00  0.23916E-02 -0.88321E-03 -0.99366E-03  0.60928E-03  0.47596E-02  0.87399E-04  0.44788E-04 -0.59608E-02  0.54866E-04
 0.12212E+03  0.00000E+00  0.23240E-02 -0.84116E-03 -0.10496E-02  0.60019E-03  0.50527E-02  0.83280E-04  0.46259E-04 -0.61534E-02  0.62268E-04
 0.11936E+03  0.00000E+00  0.22693E-02 -0.79953E-03 -0.10889E-02  0.59460E-03  0.53220E-02  0.78074E-04  0.47499E-04 -0.63548E-02  0.68106E-04
 0.11662E+03  0.00000E+00  0.22252E-02 -0.75887E-03 -0.11038E-02  0.59092E-03  0.55627E-02  0.73168E-04  0.48459E-04 -0.65650E-02  0.72762E-04
 0.11390E+03  0.00000E+00  0.21866E-02 -0.72002E-03 -0.10916E-02  0.58767E-03  0.57799E-02  0.68974E-04  0.49086E-04 -0.67838E-02  0.76739E-04
 0.11120E+03  0.00000E+00  0.21485E-02 -0.68371E-03 -0.10594E-02  0.58381E-03  0.59874E-02  0.64909E-04  0.49316E-04 -0.70107E-02  0.80165E-04
 0.10851E+03  0.00000E+00  0.21062E-02 -0.64896E-03 -0.10218E-02  0.57892E-03  0.62047E-02  0.60600E-04  0.49114E-04 -0.72457E-02  0.83149E-04
 0.10584E+03  0.00000E+00  0.20590E-02 -0.61350E-03 -0.99962E-03  0.57333E-03  0.64525E-02  0.55306E-04  0.48556E-04 -0.74897E-02  0.85873E-04
 0.10320E+03  0.00000E+00  0.20084E-02 -0.57661E-03 -0.10131E-02  0.56806E-03  0.67499E-02  0.49292E-04  0.47819E-04 -0.77449E-02  0.88810E-04
 0.10057E+03  0.00000E+00  0.19533E-02 -0.54006E-03 -0.10720E-02  0.56447E-03  0.71085E-02  0.44557E-04  0.47084E-04 -0.80133E-02  0.92562E-04
 0.97964E+02  0.00000E+00  0.18907E-02 -0.50644E-03 -0.11752E-02  0.56377E-03  0.75315E-02  0.42352E-04  0.46465E-04 -0.82962E-02  0.96995E-04
 0.95380E+02  0.00000E+00  0.18158E-02 -0.47786E-03 -0.13138E-02  0.56682E-03  0.80151E-02  0.43200E-04  0.46011E-04 -0.85943E-02  0.10096E-03
 0.92819E+02  0.00000E+00  0.17251E-02 -0.45597E-03 -0.14678E-02  0.57398E-03  0.85450E-02  0.44590E-04  0.45729E-04 -0.89077E-02  0.10295E-03
 0.90282E+02  0.00000E+00  0.16147E-02 -0.44151E-03 -0.16054E-02  0.58474E-03  0.90979E-02  0.41146E-04  0.45589E-04 -0.92353E-02  0.10190E-03
