# <u_t u_t> budget
#
# y+          P+(NC)       TD+          TCR+         PD+(NC)      PCR+         PS+          VD+         VCR+         D+            balance
 0.60833E+02  0.00000E+00  0.77477E-04  0.36667E-03  0.00000E+00 -0.64821E-03  0.19589E-01 -0.14559E-03 -0.50668E-04 -0.19019E-01  0.17001E-03
 0.58684E+02  0.00000E+00  0.62052E-04  0.35647E-03  0.00000E+00 -0.64114E-03  0.20306E-01 -0.19822E-03 -0.50400E-04 -0.19655E-01  0.17998E-03
 0.56569E+02  0.00000E+00  0.14712E-04  0.34588E-03  0.00000E+00 -0.63262E-03  0.21064E-01 -0.25320E-03 -0.50189E-04 -0.20297E-01  0.19161E-03
 0.54489E+02  0.00000E+00 -0.74075E-04  0.33358E-03  0.00000E+00 -0.62276E-03  0.21852E-01 -0.29403E-03 -0.50019E-04 -0.20942E-01  0.20268E-03
 0.52446E+02  0.00000E+00 -0.20181E-03  0.31846E-03  0.00000E+00 -0.61169E-03  0.22656E-01 -0.30956E-03 -0.49886E-04 -0.21590E-01  0.21120E-03
 0.50438E+02  0.00000E+00 -0.34937E-03  0.29986E-03  0.00000E+00 -0.59953E-03  0.23469E-01 -0.30355E-03 -0.49803E-04 -0.22248E-01  0.21916E-03
 0.48469E+02  0.00000E+00 -0.48782E-03  0.27806E-03  0.00000E+00 -0.58648E-03  0.24286E-01 -0.29668E-03 -0.49786E-04 -0.22915E-01  0.22779E-03
 0.46537E+02  0.00000E+00 -0.60684E-03  0.25383E-03  0.00000E+00 -0.57295E-03  0.25098E-01 -0.29694E-03 -0.49848E-04 -0.23588E-01  0.23721E-03
 0.44644E+02  0.00000E+00 -0.70162E-03  0.22806E-03  0.00000E+00 -0.55947E-03  0.25901E-01 -0.30888E-03 -0.49990E-04 -0.24262E-01  0.24656E-03
 0.42790E+02  0.00000E+00 -0.78303E-03  0.20145E-03  0.00000E+00 -0.54663E-03  0.26687E-01 -0.30511E-03 -0.50209E-04 -0.24948E-01  0.25601E-03
 0.40977E+02  0.00000E+00 -0.83546E-03  0.17448E-03  0.00000E+00 -0.53500E-03  0.27447E-01 -0.28605E-03 -0.50506E-04 -0.25648E-01  0.26649E-03
 0.39204E+02  0.00000E+00 -0.82206E-03  0.14848E-03  0.00000E+00 -0.52517E-03  0.28167E-01 -0.29251E-03 -0.50883E-04 -0.26348E-01  0.27667E-03
 0.37472E+02  0.00000E+00 -0.73806E-03  0.12521E-03  0.00000E+00 -0.51788E-03  0.28838E-01 -0.33388E-03 -0.51330E-04 -0.27035E-01  0.28757E-03
 0.35781E+02  0.00000E+00 -0.59673E-03  0.10594E-03  0.00000E+00 -0.51395E-03  0.29463E-01 -0.40576E-03 -0.51827E-04 -0.27701E-01  0.29965E-03
 0.34133E+02  0.00000E+00 -0.40293E-03  0.91536E-04  0.00000E+00 -0.51402E-03  0.30051E-01 -0.51535E-03 -0.52346E-04 -0.28347E-01  0.31086E-03
 0.32527E+02  0.00000E+00 -0.17940E-03  0.82588E-04  0.00000E+00 -0.51839E-03  0.30619E-01 -0.64029E-03 -0.52851E-04 -0.28992E-01  0.31934E-03
 0.30964E+02  0.00000E+00  0.35294E-04  0.78849E-04  0.00000E+00 -0.52707E-03  0.31185E-01 -0.74004E-03 -0.53309E-04 -0.29653E-01  0.32591E-03
 0.29444E+02  0.00000E+00  0.23449E-03  0.79463E-04  0.00000E+00 -0.53970E-03  0.31764E-01 -0.82603E-03 -0.53698E-04 -0.30328E-01  0.33090E-03
 0.27968E+02  0.00000E+00  0.43045E-03  0.83867E-04  0.00000E+00 -0.55563E-03  0.32370E-01 -0.94283E-03 -0.54002E-04 -0.30998E-01  0.33420E-03
 0.26535E+02  0.00000E+00  0.60633E-03  0.91581E-04  0.00000E+00 -0.57390E-03  0.33015E-01 -0.10940E-02 -0.54200E-04 -0.31653E-01  0.33793E-03
 0.25146E+02  0.00000E+00  0.73890E-03  0.10165E-03  0.00000E+00 -0.59324E-03  0.33704E-01 -0.12633E-02 -0.54272E-04 -0.32289E-01  0.34518E-03
 0.23800E+02  0.00000E+00  0.82349E-03  0.11300E-03  0.00000E+00 -0.61223E-03  0.34437E-01 -0.14489E-02 -0.54198E-04 -0.32902E-01  0.35591E-03
 0.22498E+02  0.00000E+00  0.85749E-03  0.12471E-03  0.00000E+00 -0.62953E-03  0.35206E-01 -0.16478E-02 -0.53960E-04 -0.33488E-01  0.36875E-03
