# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.40781E+03  0.32670E-01  0.50064E-02  0.19108E+00 -0.19631E-02
 0.41484E+03  0.32105E-01  0.41279E-02  0.18832E+00 -0.27131E-02
 0.42188E+03  0.31554E-01  0.31518E-02  0.18562E+00 -0.35919E-02
 0.42891E+03  0.30994E-01  0.20965E-02  0.18298E+00 -0.46107E-02
 0.43594E+03  0.30395E-01  0.99340E-03  0.18040E+00 -0.57564E-02
 0.44297E+03  0.29734E-01 -0.12550E-03  0.17786E+00 -0.69806E-02
 0.45000E+03  0.29021E-01 -0.12308E-02  0.17538E+00 -0.82019E-02
 0.45703E+03  0.28301E-01 -0.22852E-02  0.17294E+00 -0.93318E-02
 0.46406E+03  0.27632E-01 -0.32393E-02  0.17054E+00 -0.10309E-01
 0.47109E+03  0.27062E-01 -0.40445E-02  0.16818E+00 -0.11117E-01
 0.47812E+03  0.26607E-01 -0.46719E-02  0.16588E+00 -0.11780E-01
 0.48516E+03  0.26249E-01 -0.51237E-02  0.16362E+00 -0.12353E-01
 0.49219E+03  0.25945E-01 -0.54278E-02  0.16140E+00 -0.12908E-01
 0.49922E+03  0.25639E-01 -0.56202E-02  0.15923E+00 -0.13529E-01
 0.50625E+03  0.25281E-01 -0.57321E-02  0.15711E+00 -0.14303E-01
 0.51328E+03  0.24834E-01 -0.57900E-02  0.15503E+00 -0.15298E-01
 0.52031E+03  0.24280E-01 -0.58188E-02  0.15299E+00 -0.16539E-01
 0.52734E+03  0.23612E-01 -0.58377E-02  0.15098E+00 -0.18006E-01
 0.53438E+03  0.22842E-01 -0.58516E-02  0.14901E+00 -0.19650E-01
 0.54141E+03  0.22010E-01 -0.58510E-02  0.14706E+00 -0.21397E-01
 0.54844E+03  0.21189E-01 -0.58208E-02  0.14514E+00 -0.23155E-01
 0.55547E+03  0.20453E-01 -0.57547E-02  0.14325E+00 -0.24840E-01
 0.56250E+03  0.19855E-01 -0.56589E-02  0.14137E+00 -0.26400E-01
 0.56953E+03  0.19417E-01 -0.55423E-02  0.13952E+00 -0.27836E-01
 0.57656E+03  0.19129E-01 -0.54066E-02  0.13766E+00 -0.29196E-01
 0.58359E+03  0.18955E-01 -0.52508E-02  0.13581E+00 -0.30555E-01
 0.59062E+03  0.18845E-01 -0.50837E-02  0.13395E+00 -0.31981E-01
 0.59766E+03  0.18749E-01 -0.49315E-02  0.13208E+00 -0.33518E-01
 0.60469E+03  0.18618E-01 -0.48367E-02  0.13020E+00 -0.35167E-01
 0.61172E+03  0.18401E-01 -0.48470E-02  0.12831E+00 -0.36894E-01
 0.61875E+03  0.18053E-01 -0.49979E-02  0.12642E+00 -0.38650E-01
 0.62578E+03  0.17554E-01 -0.53009E-02  0.12452E+00 -0.40382E-01
 0.63281E+03  0.16921E-01 -0.57382E-02  0.12263E+00 -0.42035E-01
 0.63984E+03  0.16191E-01 -0.62659E-02  0.12075E+00 -0.43560E-01
 0.64688E+03  0.15404E-01 -0.68313E-02  0.11889E+00 -0.44919E-01
 0.65391E+03  0.14597E-01 -0.73892E-02  0.11705E+00 -0.46092E-01
 0.66094E+03  0.13807E-01 -0.79024E-02  0.11523E+00 -0.47075E-01
 0.66797E+03  0.13067E-01 -0.83430E-02  0.11345E+00 -0.47872E-01
 0.67500E+03  0.12398E-01 -0.87059E-02  0.11171E+00 -0.48493E-01
 0.68203E+03  0.11802E-01 -0.90084E-02  0.11002E+00 -0.48960E-01
 0.68906E+03  0.11261E-01 -0.92713E-02  0.10838E+00 -0.49309E-01
 0.69609E+03  0.10747E-01 -0.95133E-02  0.10680E+00 -0.49582E-01
 0.70312E+03  0.10246E-01 -0.97557E-02  0.10529E+00 -0.49813E-01
 0.71016E+03  0.97657E-02 -0.10014E-01  0.10384E+00 -0.50007E-01
 0.71719E+03  0.93331E-02 -0.10287E-01  0.10246E+00 -0.50145E-01
 0.72422E+03  0.89718E-02 -0.10565E-01  0.10115E+00 -0.50210E-01
 0.73125E+03  0.86806E-02 -0.10843E-01  0.99908E-01 -0.50223E-01
 0.73828E+03  0.84236E-02 -0.11123E-01  0.98746E-01 -0.50250E-01
 0.74531E+03  0.81475E-02 -0.11413E-01  0.97664E-01 -0.50372E-01
 0.75234E+03  0.78111E-02 -0.11731E-01  0.96662E-01 -0.50644E-01
 0.75938E+03  0.74055E-02 -0.12106E-01  0.95738E-01 -0.51068E-01
 0.76641E+03  0.69599E-02 -0.12559E-01  0.94892E-01 -0.51596E-01
 0.77344E+03  0.65312E-02 -0.13098E-01  0.94124E-01 -0.52163E-01
 0.78047E+03  0.61785E-02 -0.13717E-01  0.93433E-01 -0.52718E-01
 0.78750E+03  0.59343E-02 -0.14406E-01  0.92815E-01 -0.53225E-01
 0.79453E+03  0.57953E-02 -0.15159E-01  0.92263E-01 -0.53664E-01
 0.80156E+03  0.57406E-02 -0.15965E-01  0.91772E-01 -0.54023E-01
 0.80859E+03  0.57500E-02 -0.16819E-01  0.91341E-01 -0.54295E-01
 0.81562E+03  0.58030E-02 -0.17735E-01  0.90964E-01 -0.54488E-01
 0.82266E+03  0.58739E-02 -0.18727E-01  0.90638E-01 -0.54625E-01
 0.82969E+03  0.59378E-02 -0.19801E-01  0.90357E-01 -0.54749E-01
 0.83672E+03  0.59764E-02 -0.20935E-01  0.90122E-01 -0.54900E-01
 0.84375E+03  0.59781E-02 -0.22093E-01  0.89930E-01 -0.55099E-01
 0.85078E+03  0.59371E-02 -0.23232E-01  0.89780E-01 -0.55333E-01
 0.85781E+03  0.58512E-02 -0.24311E-01  0.89666E-01 -0.55562E-01
 0.86484E+03  0.57174E-02 -0.25287E-01  0.89584E-01 -0.55737E-01
 0.87188E+03  0.55373E-02 -0.26112E-01  0.89525E-01 -0.55826E-01
 0.87891E+03  0.53334E-02 -0.26744E-01  0.89486E-01 -0.55825E-01
 0.88594E+03  0.51500E-02 -0.27164E-01  0.89463E-01 -0.55767E-01
 0.89297E+03  0.50286E-02 -0.27392E-01  0.89451E-01 -0.55702E-01
 0.90000E+03  0.49872E-02 -0.27463E-01  0.89448E-01 -0.55674E-01
 0.90703E+03  0.50286E-02 -0.27392E-01  0.89451E-01 -0.55702E-01
