#x Ruu Rww Rvv kPlus
58.9865 4.13469 2.46229 0.768301 3.62118
59.5549 4.12229 2.45682 0.768508 3.61004
59.868 4.11545 2.45381 0.768622 3.60668
60.4763 4.10218 2.44796 0.774914 3.60015
60.811 4.09227 2.44474 0.778377 3.59656
61.1969 4.08085 2.44488 0.782369 3.59242
61.6932 4.06616 2.44506 0.787502 3.58269
62.3001 4.0482 2.44528 0.787723 3.57079
62.6359 4.04087 2.4454 0.787845 3.56421
63.0211 4.03246 2.44555 0.787986 3.55666
63.518 4.02161 2.44573 0.788167 3.55188
63.9418 4.01236 2.44588 0.792551 3.5478
64.4607 4.00219 2.44607 0.797918 3.54281
64.8456 3.99465 2.43767 0.8019 3.53911
65.3432 3.98489 2.42681 0.807047 3.53377
65.766 3.9766 2.41758 0.807201 3.52923
66.1024 3.97 2.41024 0.807323 3.52562
66.4876 3.96245 2.40653 0.807464 3.52149
67.168 3.94911 2.39999 0.807711 3.50815
67.5902 3.94083 2.39593 0.807865 3.49987
67.9269 3.93722 2.39269 0.807988 3.49327
68.3118 3.93309 2.39283 0.808128 3.48572
68.9929 3.92579 2.39308 0.808376 3.47917
69.2322 3.92322 2.39316 0.808463 3.47687
69.7517 3.91822 2.39335 0.808653 3.47187
70.1363 3.91452 2.38581 0.808793 3.46817
70.8177 3.90797 2.37245 0.809041 3.46086
71.0567 3.90567 2.36777 0.811778 3.4583
71.5759 3.90067 2.35759 0.817724 3.45273
71.7783 3.89873 2.35766 0.820043 3.45056
72.4604 3.89216 2.35791 0.827854 3.444
72.8812 3.88812 2.35806 0.828008 3.43995
73.4007 3.88312 2.35825 0.828197 3.43495
73.6028 3.88118 2.35384 0.828271 3.43301
74.2852 3.87461 2.33895 0.828519 3.42644
74.7057 3.87057 2.32977 0.828672 3.4224
75.0424 3.86695 2.32242 0.828795 3.41916
75.4273 3.86282 2.31872 0.828935 3.41546
76.11 3.8555 2.31215 0.829184 3.40813
76.3477 3.85295 2.30986 0.831642 3.40558
76.8669 3.84796 2.30487 0.837013 3.40001
77.0693 3.84601 2.30292 0.839107 3.39784
77.9352 3.83768 2.29459 0.848064 3.38951
78.1722 3.8354 2.29231 0.84815 3.38723
78.6914 3.83559 2.28732 0.848339 3.38224
78.8938 3.83566 2.28537 0.848413 3.38029
79.5775 3.83591 2.2788 0.848662 3.36537
79.997 3.83606 2.27476 0.848815 3.35621
80.5159 3.83107 2.26977 0.849004 3.34489
80.5355 3.83088 2.26956 0.849011 3.34446
81.4024 3.82255 2.26026 0.849327 3.35342
81.8215 3.81851 2.25576 0.84948 3.35776
82.1579 3.81864 2.25215 0.849602 3.36124
82.3606 3.81871 2.2502 0.849676 3.36334
83.2272 3.81903 2.24187 0.849992 3.35404
83.6463 3.81918 2.23783 0.854327 3.34954
83.9824 3.81595 2.2346 0.857804 3.34594
84.0027 3.81575 2.23441 0.858013 3.34572
85.0524 3.80565 2.22431 0.868872 3.3461
85.4708 3.80163 2.22028 0.869024 3.34626
85.8069 3.79802 2.21705 0.869146 3.34638
85.8275 3.7978 2.21685 0.869154 3.34639
