# r/D;g;g'
1.790000000000000480e-01;3.359999999999999792e-02;6.199999999999999782e-03
1.852000000000000313e-01;3.090000000000000038e-02;6.000000000000000125e-03
1.914000000000000146e-01;2.809999999999999998e-02;5.899999999999999863e-03
1.975000000000000089e-01;2.589999999999999941e-02;5.899999999999999863e-03
2.036999999999999922e-01;2.340000000000000066e-02;5.700000000000000205e-03
2.098999999999999755e-01;2.089999999999999844e-02;5.499999999999999681e-03
2.159999999999999698e-01;1.899999999999999953e-02;5.499999999999999681e-03
2.221999999999999531e-01;1.710000000000000062e-02;5.400000000000000286e-03
2.284000000000000474e-01;1.510000000000000057e-02;5.199999999999999761e-03
2.346000000000000307e-01;1.420000000000000082e-02;5.300000000000000024e-03
2.407000000000000250e-01;1.319999999999999993e-02;5.100000000000000366e-03
2.469000000000000083e-01;1.280000000000000061e-02;5.000000000000000104e-03
2.530999999999999917e-01;1.140000000000000041e-02;4.899999999999999842e-03
2.592999999999999750e-01;1.030000000000000013e-02;4.799999999999999580e-03
2.653999999999999693e-01;8.899999999999999925e-03;5.000000000000000104e-03
2.715999999999999526e-01;7.799999999999999642e-03;5.000000000000000104e-03
2.778000000000000469e-01;6.499999999999999702e-03;5.000000000000000104e-03
2.840000000000000302e-01;5.899999999999999863e-03;4.799999999999999580e-03
2.901000000000000245e-01;5.199999999999999761e-03;4.599999999999999922e-03
2.963000000000000078e-01;5.199999999999999761e-03;4.700000000000000185e-03
3.024999999999999911e-01;4.799999999999999580e-03;4.700000000000000185e-03
3.085999999999999854e-01;4.300000000000000003e-03;4.499999999999999660e-03
3.147999999999999687e-01;4.000000000000000083e-03;4.599999999999999922e-03
3.209999999999999520e-01;4.300000000000000003e-03;4.700000000000000185e-03
3.272000000000000464e-01;4.199999999999999740e-03;4.499999999999999660e-03
3.333000000000000407e-01;4.400000000000000265e-03;4.599999999999999922e-03
3.395000000000000240e-01;4.499999999999999660e-03;4.700000000000000185e-03
3.457000000000000073e-01;4.400000000000000265e-03;4.599999999999999922e-03
3.518999999999999906e-01;4.199999999999999740e-03;4.400000000000000265e-03
3.579999999999999849e-01;3.799999999999999992e-03;4.400000000000000265e-03
3.641999999999999682e-01;3.599999999999999901e-03;4.100000000000000346e-03
3.703999999999999515e-01;3.299999999999999982e-03;4.100000000000000346e-03
3.764999999999999458e-01;3.200000000000000153e-03;4.300000000000000003e-03
3.827000000000000401e-01;2.599999999999999881e-03;4.300000000000000003e-03
3.889000000000000234e-01;2.700000000000000143e-03;4.400000000000000265e-03
3.951000000000000068e-01;2.399999999999999790e-03;4.599999999999999922e-03
4.012000000000000011e-01;2.700000000000000143e-03;4.700000000000000185e-03
4.073999999999999844e-01;2.700000000000000143e-03;4.599999999999999922e-03
4.135999999999999677e-01;2.799999999999999972e-03;4.599999999999999922e-03
4.197999999999999510e-01;2.700000000000000143e-03;4.599999999999999922e-03
4.258999999999999453e-01;2.899999999999999800e-03;4.599999999999999922e-03
4.321000000000000396e-01;2.200000000000000133e-03;4.499999999999999660e-03
4.383000000000000229e-01;2.299999999999999961e-03;4.499999999999999660e-03
4.444000000000000172e-01;2.700000000000000143e-03;4.400000000000000265e-03
4.506000000000000005e-01;2.799999999999999972e-03;4.400000000000000265e-03
4.567999999999999838e-01;2.799999999999999972e-03;4.400000000000000265e-03
4.629999999999999671e-01;3.399999999999999811e-03;4.499999999999999660e-03
4.690999999999999615e-01;4.100000000000000346e-03;4.700000000000000185e-03
4.752999999999999448e-01;5.000000000000000104e-03;4.799999999999999580e-03
4.815000000000000391e-01;4.899999999999999842e-03;5.000000000000000104e-03
4.877000000000000224e-01;6.700000000000000226e-03;5.300000000000000024e-03
4.938000000000000167e-01;0.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00
